session,participant,order,target,category,lname,nation,religion,caste,ig_caste,q1,q2,q3
A,1,1,7,2,Sambrani,Indian,Hindu,OBC,obc,1,6,80
A,1,2,23,6,Akhand,Foreign,Muslim,N/A,obc,1,5,80
A,1,3,18,5,Thapa,Foreign,Hindu,N/A,obc,1,5,80
A,1,4,5,2,Kale,Indian,Hindu,OBC,obc,1,5,80
A,1,5,3,1,Deshpande,Indian,Hindu,GM,obc,1,5,80
A,1,6,22,6,Mir,Foreign,Muslim,N/A,obc,1,5,80
A,1,7,11,3,Wadder,Indian,Hindu,SCST,obc,1,4,80
A,1,8,4,1,Kulkarni,Indian,Hindu,GM,obc,1,6,80
A,1,9,24,6,Mirza,Foreign,Muslim,N/A,obc,1,4,80
A,1,10,15,4,Haq,Indian,Muslim,OBC,obc,1,6,80
A,1,11,9,3,Madar,Indian,Hindu,SCST,obc,1,6,80
A,1,12,16,4,Sheikh,Indian,Muslim,OBC,obc,1,4,80
A,1,13,10,3,Kamble,Indian,Hindu,SCST,obc,1,6,80
A,1,14,14,4,Mulla,Indian,Muslim,OBC,obc,1,6,80
A,1,15,21,6,Sheikh,Foreign,Muslim,N/A,obc,1,4,80
A,1,16,20,5,Dissanayake,Foreign,Hindu,N/A,obc,1,5,80
A,1,17,19,5,Prasanna,Foreign,Hindu,N/A,obc,1,5,80
A,1,18,6,2,Waghmore,Indian,Hindu,OBC,obc,1,6,80
A,1,19,8,2,Pal,Indian,Hindu,OBC,obc,1,6,80
A,1,20,17,5,Gurung,Foreign,Hindu,N/A,obc,1,5,80
A,1,21,2,1,Joshi,Indian,Hindu,GM,obc,1,6,80
A,1,22,1,1,Desai,Indian,Hindu,GM,obc,1,6,80
A,1,23,13,4,Nadaf,Indian,Muslim,OBC,obc,1,6,80
A,1,24,12,3,Harijan,Indian,Hindu,SCST,obc,1,6,80
A,22,1,7,2,Sambrani,Indian,Hindu,OBC,obc,1,7,90
A,22,2,23,6,Akhand,Foreign,Muslim,N/A,obc,0,1,50
A,22,3,18,5,Thapa,Foreign,Hindu,N/A,obc,0,2,50
A,22,4,5,2,Kale,Indian,Hindu,OBC,obc,1,6,85
A,22,5,3,1,Deshpande,Indian,Hindu,GM,obc,1,7,87
A,22,6,22,6,Mir,Foreign,Muslim,N/A,obc,0,1,40
A,22,7,11,3,Wadder,Indian,Hindu,SCST,obc,1,5,80
A,22,8,4,1,Kulkarni,Indian,Hindu,GM,obc,1,7,90
A,22,9,24,6,Mirza,Foreign,Muslim,N/A,obc,0,5,50
A,22,10,15,4,Haq,Indian,Muslim,OBC,obc,1,6,85
A,22,11,9,3,Madar,Indian,Hindu,SCST,obc,1,5,90
A,22,12,16,4,Sheikh,Indian,Muslim,OBC,obc,1,4,80
A,22,13,10,3,Kamble,Indian,Hindu,SCST,obc,1,4,85
A,22,14,14,4,Mulla,Indian,Muslim,OBC,obc,1,7,80
A,22,15,21,6,Sheikh,Foreign,Muslim,N/A,obc,0,1,45
A,22,16,20,5,Dissanayake,Foreign,Hindu,N/A,obc,0,1,60
A,22,17,19,5,Prasanna,Foreign,Hindu,N/A,obc,0,1,65
A,22,18,6,2,Waghmore,Indian,Hindu,OBC,obc,1,7,85
