TARGET,INDEX,LNAME,NATION,RELIGION,CASTE
1,7,Sambrani,Indian,Hindu,OBC
2,23,Akhand,Foreign,Muslim,N/A
3,18,Thapa,Foreign,Hindu,N/A
4,5,Kale,Indian,Hindu,OBC
5,3,Deshpande,Indian,Hindu,GM
6,22,Mir,Foreign,Muslim,N/A
7,11,Wadder,Indian,Hindu,SCST
8,4,Kulkarni,Indian,Hindu,GM
9,24,Mirza,Foreign,Muslim,N/A
10,15,Haq,Indian,Muslim,OBC
11,9,Madar,Indian,Hindu,SCST
12,16,Sheikh,Indian,Muslim,OBC
13,10,Kamble,Indian,Hindu,SCST
14,14,Mulla,Indian,Muslim,OBC
15,21,Sheikh,Foreign,Muslim,N/A
16,20,Dissanayake,Foreign,Hindu,N/A
17,19,Prasanna,Foreign,Hindu,N/A
18,6,Waghmore,Indian,Hindu,OBC
19,8,Pal,Indian,Hindu,OBC
20,17,Gurung,Foreign,Hindu,N/A
21,2,Joshi,Indian,Hindu,GM
22,1,Desai,Indian,Hindu,GM
23,13,Nadaf,Indian,Muslim,OBC
24,12,Harijan,Indian,Hindu,SCST
