TARGET,INDEX,LNAME,NATION,RELIGION,CASTE
1,21,Sheikh,Foreign,Muslim,N/A
2,3,Deshpande,Indian,Hindu,GM
3,8,Pal,Indian,Hindu,OBC
4,4,Kulkarni,Indian,Hindu,GM
5,24,Mirza,Foreign,Muslim,N/A
6,9,Madar,Indian,Hindu,SCST
7,6,Waghmore,Indian,Hindu,OBC
8,1,Desai,Indian,Hindu,GM
9,14,Mulla,Indian,Muslim,OBC
10,16,Sheikh,Indian,Muslim,OBC
11,22,Mir,Foreign,Muslim,N/A
12,18,Thapa,Foreign,Hindu,N/A
13,10,Kamble,Indian,Hindu,SCST
14,5,Kale,Indian,Hindu,OBC
15,7,Sambrani,Indian,Hindu,OBC
16,15,Haq,Indian,Muslim,OBC
17,2,Joshi,Indian,Hindu,GM
18,20,Dissanayake,Foreign,Hindu,N/A
19,19,Prasanna,Foreign,Hindu,N/A
20,13,Nadaf,Indian,Muslim,OBC
21,12,Harijan,Indian,Hindu,SCST
22,23,Akhand,Foreign,Muslim,N/A
23,17,Gurung,Foreign,Hindu,N/A
24,11,Wadder,Indian,Hindu,SCST
