TARGET,INDEX,LNAME,NATION,RELIGION,CASTE
1,1,Desai,Indian,Hindu,GM
2,10,Kamble,Indian,Hindu,SCST
3,13,Nadaf,Indian,Muslim,OBC
4,18,Thapa,Foreign,Hindu,N/A
5,21,Sheikh,Foreign,Muslim,N/A
6,6,Waghmore,Indian,Hindu,OBC
7,17,Gurung,Foreign,Hindu,N/A
8,23,Akhand,Foreign,Muslim,N/A
9,2,Joshi,Indian,Hindu,GM
10,15,Haq,Indian,Muslim,OBC
11,22,Mir,Foreign,Muslim,N/A
12,14,Mulla,Indian,Muslim,OBC
13,20,Dissanayake,Foreign,Hindu,N/A
14,11,Wadder,Indian,Hindu,SCST
15,3,Deshpande,Indian,Hindu,GM
16,19,Prasanna,Foreign,Hindu,N/A
17,9,Madar,Indian,Hindu,SCST
18,5,Kale,Indian,Hindu,OBC
19,16,Sheikh,Indian,Muslim,OBC
20,12,Harijan,Indian,Hindu,SCST
21,7,Sambrani,Indian,Hindu,OBC
22,8,Pal,Indian,Hindu,OBC
23,24,Mirza,Foreign,Muslim,N/A
24,4,Kulkarni,Indian,Hindu,GM
