TARGET,INDEX,LNAME,NATION,RELIGION,CASTE
1,23,Akhand,Foreign,Muslim,N/A
2,16,Sheikh,Indian,Muslim,OBC
3,13,Nadaf,Indian,Muslim,OBC
4,20,Dissanayake,Foreign,Hindu,N/A
5,17,Gurung,Foreign,Hindu,N/A
6,24,Mirza,Foreign,Muslim,N/A
7,5,Kale,Indian,Hindu,OBC
8,12,Harijan,Indian,Hindu,SCST
9,3,Deshpande,Indian,Hindu,GM
10,10,Kamble,Indian,Hindu,SCST
11,21,Sheikh,Foreign,Muslim,N/A
12,18,Thapa,Foreign,Hindu,N/A
13,7,Sambrani,Indian,Hindu,OBC
14,9,Madar,Indian,Hindu,SCST
15,6,Waghmore,Indian,Hindu,OBC
16,19,Prasanna,Foreign,Hindu,N/A
17,4,Kulkarni,Indian,Hindu,GM
18,11,Wadder,Indian,Hindu,SCST
19,15,Haq,Indian,Muslim,OBC
20,14,Mulla,Indian,Muslim,OBC
21,1,Desai,Indian,Hindu,GM
22,2,Joshi,Indian,Hindu,GM
23,8,Pal,Indian,Hindu,OBC
24,22,Mir,Foreign,Muslim,N/A
