TARGET,INDEX,LNAME,NATION,RELIGION,CASTE
1,17,Gurung,Foreign,Hindu,N/A
2,24,Mirza,Foreign,Muslim,N/A
3,5,Kale,Indian,Hindu,OBC
4,6,Waghmore,Indian,Hindu,OBC
5,14,Mulla,Indian,Muslim,OBC
6,15,Haq,Indian,Muslim,OBC
7,22,Mir,Foreign,Muslim,N/A
8,2,Joshi,Indian,Hindu,GM
9,19,Prasanna,Foreign,Hindu,N/A
10,1,Desai,Indian,Hindu,GM
11,8,Pal,Indian,Hindu,OBC
12,23,Akhand,Foreign,Muslim,N/A
13,18,Thapa,Foreign,Hindu,N/A
14,3,Deshpande,Indian,Hindu,GM
15,12,Harijan,Indian,Hindu,SCST
16,21,Sheikh,Foreign,Muslim,N/A
17,9,Madar,Indian,Hindu,SCST
18,16,Sheikh,Indian,Muslim,OBC
19,11,Wadder,Indian,Hindu,SCST
20,20,Dissanayake,Foreign,Hindu,N/A
21,13,Nadaf,Indian,Muslim,OBC
22,10,Kamble,Indian,Hindu,SCST
23,4,Kulkarni,Indian,Hindu,GM
24,7,Sambrani,Indian,Hindu,OBC
