TARGET,INDEX,LNAME,NATION,RELIGION,CASTE
1,4,Kulkarni,Indian,Hindu,GM
2,15,Haq,Indian,Muslim,OBC
3,8,Pal,Indian,Hindu,OBC
4,17,Gurung,Foreign,Hindu,N/A
5,6,Waghmore,Indian,Hindu,OBC
6,22,Mir,Foreign,Muslim,N/A
7,2,Joshi,Indian,Hindu,GM
8,14,Mulla,Indian,Muslim,OBC
9,19,Prasanna,Foreign,Hindu,N/A
10,7,Sambrani,Indian,Hindu,OBC
11,9,Madar,Indian,Hindu,SCST
12,20,Dissanayake,Foreign,Hindu,N/A
13,23,Akhand,Foreign,Muslim,N/A
14,3,Deshpande,Indian,Hindu,GM
15,12,Harijan,Indian,Hindu,SCST
16,21,Sheikh,Foreign,Muslim,N/A
17,13,Nadaf,Indian,Muslim,OBC
18,18,Thapa,Foreign,Hindu,N/A
19,10,Kamble,Indian,Hindu,SCST
20,16,Sheikh,Indian,Muslim,OBC
21,11,Wadder,Indian,Hindu,SCST
22,5,Kale,Indian,Hindu,OBC
23,1,Desai,Indian,Hindu,GM
24,24,Mirza,Foreign,Muslim,N/A
