TARGET,INDEX,LNAME,NATION,RELIGION,CASTE
1,4,Kulkarni,Indian,Hindu,GM
2,14,Mulla,Indian,Muslim,OBC
3,21,Sheikh,Foreign,Muslim,N/A
4,3,Deshpande,Indian,Hindu,GM
5,13,Nadaf,Indian,Muslim,OBC
6,19,Prasanna,Foreign,Hindu,N/A
7,16,Sheikh,Indian,Muslim,OBC
8,7,Sambrani,Indian,Hindu,OBC
9,1,Desai,Indian,Hindu,GM
10,8,Pal,Indian,Hindu,OBC
11,20,Dissanayake,Foreign,Hindu,N/A
12,10,Kamble,Indian,Hindu,SCST
13,15,Haq,Indian,Muslim,OBC
14,2,Joshi,Indian,Hindu,GM
15,24,Mirza,Foreign,Muslim,N/A
16,17,Gurung,Foreign,Hindu,N/A
17,11,Wadder,Indian,Hindu,SCST
18,12,Harijan,Indian,Hindu,SCST
19,6,Waghmore,Indian,Hindu,OBC
20,18,Thapa,Foreign,Hindu,N/A
21,5,Kale,Indian,Hindu,OBC
22,23,Akhand,Foreign,Muslim,N/A
23,9,Madar,Indian,Hindu,SCST
24,22,Mir,Foreign,Muslim,N/A
